City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Fairbanks,US,33.8,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
2,Ulaangom,MN,32.36,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
3,Ushuaia,AR,44.6,few clouds,-54.8,-68.3,Albatros Hotel
17,Jamestown,US,53.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Kodiak,US,33.8,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
24,Portland,US,52.0,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
33,Xining,CN,37.33,overcast clouds,36.6167,101.7667,Super Leisure Hotel
41,Pervomaysk,UA,45.66,overcast clouds,48.0443,30.8507,Отель МАЕТОК
43,Pinawa,CA,50.45,overcast clouds,50.1489,-95.8811,Pinawa Motel
47,Tasiilaq,GL,23.0,broken clouds,65.6145,-37.6368,The Red House
57,Narsaq,GL,39.2,overcast clouds,60.9167,-46.05,Hotel Narsaq
58,Punta Arenas,CL,48.2,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
59,Lompoc,US,54.0,scattered clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
64,Liverpool,GB,54.0,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
68,Severo-Kurilsk,RU,28.71,overcast clouds,50.6789,156.125,Kak Doma
73,Penzance,GB,51.8,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
75,Nikolskoye,RU,42.8,few clouds,59.7035,30.7861,Tourist House - Sablino
77,North Battleford,CA,41.0,clear sky,52.7834,-108.2847,Tropical Inn
82,Thompson,CA,28.4,few clouds,55.7435,-97.8558,Burntwood Hotel
83,Gannan,CN,43.16,broken clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
91,Esik,KZ,48.2,smoke,43.3552,77.4525,"Gostevoy Dom ""Asyl Tau"""
98,Warrnambool,AU,54.81,broken clouds,-38.3833,142.4833,Lady Bay Resort
101,Linjiang,CN,34.36,clear sky,41.8069,126.9078,格林豪泰
112,Skibbereen,IE,53.6,few clouds,51.55,-9.2667,The West Cork Hotel
114,Bagdarin,RU,21.43,scattered clouds,54.4333,113.6,Gostevoy Dom Terem
117,Andenes,NO,30.99,overcast clouds,69.3143,16.1194,Hotell Marena
130,Brae,GB,33.8,snow,60.3964,-1.3530000000000002,Busta House Hotel
131,Grand Bank,CA,43.99,overcast clouds,47.0999,-55.765,Hotel Fortune
136,Palmer,US,54.0,few clouds,42.1584,-72.3287,Wedgewood Motel
139,Vardo,NO,35.6,broken clouds,70.3705,31.1107,Vardø Hotel AS
142,Torbay,CA,41.0,mist,47.6666,-52.7314,Gallows Cove
151,Pelym,RU,33.44,overcast clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
159,Asau,RO,42.01,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
161,Goderich,CA,41.0,few clouds,43.7501,-81.7165,Harmony Inn
164,Starosubkhangulovo,RU,35.06,light snow,53.1031,57.4423,"Gostinichnyy Kompleks ""Yulbars"""
167,Colac,AU,55.0,clear sky,-38.3333,143.5833,Otway Gate Motel
168,Vilaka,LV,40.19,overcast clouds,57.1846,27.6722,Million Star Hotel
173,Krasnyy Chikoy,RU,29.73,overcast clouds,50.3643,108.7512,Persona
174,Havoysund,NO,33.8,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
175,Kaeo,NZ,51.01,few clouds,-35.1,173.7833,Bushido Lodge
191,Sorland,NO,33.8,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
192,Eureka,US,51.01,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
197,Sioux Lookout,CA,51.8,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
202,Bethel,US,55.0,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
203,Fort-Shevchenko,KZ,48.54,few clouds,44.5086,50.263000000000005,Oasis hotel Bautino
206,Jining,CN,46.0,light rain,35.405,116.5814,Yunhe Star Hotel
207,Launceston,AU,46.0,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
208,Almetyevsk,RU,32.79,overcast clouds,54.9044,52.3154,deluxe
210,Severo-Yeniseyskiy,RU,29.7,overcast clouds,60.3725,93.0408,Aktolik
211,Neath,GB,52.0,scattered clouds,51.6632,-3.8044,The Castle Hotel
214,Sol-Iletsk,RU,34.38,overcast clouds,51.1631,54.9918,Raduzhnaya
219,Raudeberg,NO,33.8,light snow,61.9875,5.1352,Nordre Silda.
220,La Ronge,CA,37.4,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
221,Mujiayingzi,CN,44.64,clear sky,42.1167,118.7833,Jinjiang Hotel
223,Hammerfest,NO,30.2,light snow,70.6634,23.6821,Skytterhuset
226,Ketchikan,US,33.8,overcast clouds,55.3422,-131.6461,Snows Cove Lodge
239,Kurilsk,RU,29.91,overcast clouds,45.2333,147.8833,City of Kurilsk
240,Petropavlovsk-Kamchatskiy,RU,30.2,broken clouds,53.0452,158.6483,"ООО ""Гостиничный комплекс ""Петропавловск"""
244,Qaqortoq,GL,39.2,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
246,Kyren,RU,33.96,light snow,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
250,College,US,33.8,moderate rain,64.8569,-147.8028,Pike's Waterfront Lodge
255,Turukhansk,RU,22.32,light snow,65.8167,87.9833,"ООО ""Туруханская пушнина"""
259,Rorvik,NO,32.0,rain and snow,64.8621,11.2373,Kysthotellet Rørvik AS
261,Mehamn,NO,33.8,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
263,Grindavik,IS,23.0,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
264,Keene,US,52.0,scattered clouds,42.9337,-72.2781,Days Inn by Wyndham Keene NH
265,Klaksvik,FO,24.8,light snow,62.2266,-6.5889999999999995,Airbnb rooms
270,Yakeshi,CN,37.53,broken clouds,49.2833,120.7333,Longhua Hotel
278,Balkhash,KZ,44.24,overcast clouds,46.843999999999994,74.9804,Family
280,Jumla,NP,44.76,few clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
282,Bikin,RU,32.74,clear sky,46.8161,134.26,Azhur
290,Kokkinokhoma,GR,53.6,broken clouds,40.9333,24.3,Kavala Villa
292,Honningsvag,NO,33.8,few clouds,70.9821,25.9704,Nordkapp Vandrerhjem
293,Tigil,RU,24.57,overcast clouds,57.8,158.6667,Tigil'
