City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Henties Bay,NA,-22.116,14.2845,69.01,79,4,10.0,clear sky
1,Fairbanks,US,64.8378,-147.7164,33.8,100,90,5.75,light rain
2,Ulaangom,MN,49.9811,92.0667,32.36,43,0,2.04,clear sky
3,Ushuaia,AR,-54.8,-68.3,44.6,65,20,8.05,few clouds
4,Hithadhoo,MV,-0.6,73.0833,83.82,74,75,17.34,broken clouds
5,Saravan,AM,39.7196,45.6483,51.8,46,40,4.61,scattered clouds
6,Avarua,CK,-21.2078,-159.775,80.6,83,75,11.5,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,76.77,70,26,14.7,light rain
8,Qaanaaq,GL,77.484,-69.3632,-12.46,68,17,6.96,few clouds
9,Albany,US,42.6001,-73.9662,54.0,20,30,1.01,scattered clouds
10,Hobart,AU,-42.8794,147.3294,57.2,67,75,8.05,broken clouds
11,Chuy,UY,-33.6971,-53.4616,75.96,64,18,10.87,few clouds
12,Sola,VU,-13.8833,167.55,81.0,79,99,19.69,overcast clouds
13,Vaini,TO,-21.2,-175.2,75.2,83,75,4.61,broken clouds
14,Yenagoa,NG,4.9247,6.2642,86.38,62,100,8.79,overcast clouds
15,Reyes,BO,-14.3167,-67.3833,84.2,79,90,3.49,overcast clouds
16,Abha,SA,18.2164,42.5053,71.6,40,0,11.5,clear sky
17,Jamestown,US,42.097,-79.2353,53.01,40,1,8.05,clear sky
18,Leeton,AU,-34.5667,146.4,57.2,88,0,4.61,clear sky
19,Kamenka,RU,51.3223,42.7678,39.99,81,100,5.86,overcast clouds
20,Kodiak,US,57.79,-152.4072,33.8,80,1,4.61,clear sky
21,Alofi,NU,-19.0595,-169.9187,71.6,100,98,2.3,overcast clouds
22,Cayenne,GF,4.9333,-52.3333,78.8,94,75,4.61,heavy intensity rain
23,Espanola,US,35.9911,-106.0806,64.99,31,1,3.44,clear sky
24,Portland,US,45.5234,-122.6762,52.0,66,75,10.36,broken clouds
25,Coihaique,CL,-45.5752,-72.0662,59.0,63,75,4.61,broken clouds
26,Babu,CN,24.4167,111.5167,59.56,83,99,6.62,overcast clouds
27,Port Alfred,ZA,-33.5906,26.891,67.17,83,0,11.56,clear sky
28,Cape Town,ZA,-33.9258,18.4232,71.01,73,20,16.11,few clouds
29,Barrow,US,71.2906,-156.7887,-11.2,70,1,13.8,clear sky
30,Kindu,CD,-2.95,25.95,73.26,89,78,2.44,broken clouds
31,Menongue,AO,-14.6585,17.691,67.59,64,35,4.56,scattered clouds
32,Yellowknife,CA,62.456,-114.3525,14.0,56,40,3.44,scattered clouds
33,Xining,CN,36.6167,101.7667,37.33,64,98,1.86,overcast clouds
34,Ribeira Grande,PT,38.5167,-28.7,62.6,88,75,20.71,broken clouds
35,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,94,40,14.97,scattered clouds
36,Bluff,NZ,-46.6,168.3333,57.99,75,76,5.99,broken clouds
37,Carrick-On-Suir,IE,52.3492,-7.4131,57.0,59,24,5.99,few clouds
38,Anisoc,GQ,1.8658,10.7689,75.15,92,96,2.75,light rain
39,Kapaa,US,22.0752,-159.319,73.4,64,75,18.41,broken clouds
40,Atambua,ID,-9.1061,124.8925,74.03,93,100,16.58,moderate rain
41,Pervomaysk,UA,48.0443,30.8507,45.66,64,87,5.53,overcast clouds
42,Olafsvik,IS,64.8945,-23.7142,19.96,54,100,18.99,overcast clouds
43,Pinawa,CA,50.1489,-95.8811,50.45,60,87,7.0,overcast clouds
44,Mataura,NZ,-46.1927,168.8643,57.0,74,42,10.0,scattered clouds
