City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2021-04-03 19:13:16,64.3833,-173.3,6.21,92,100,10.0
1,Dayong,CN,2021-04-03 19:13:17,25.0209,118.2898,69.8,88,90,6.71
2,Rikitea,PF,2021-04-03 19:13:17,-23.1203,-134.9692,76.78,68,91,16.89
3,Taoudenni,ML,2021-04-03 19:13:17,22.6783,-3.9836,95.61,7,100,9.95
4,Sao Filipe,CV,2021-04-03 19:13:18,14.8961,-24.4956,74.97,68,11,8.25
5,Port Elizabeth,ZA,2021-04-03 19:13:18,-33.918,25.5701,64.4,77,0,13.8
6,Punta Arenas,CL,2021-04-03 19:13:18,-53.15,-70.9167,46.4,57,40,27.63
7,Naze,JP,2021-04-03 19:13:18,28.3667,129.4833,66.56,91,100,2.77
8,Ushuaia,AR,2021-04-03 19:09:26,-54.8,-68.3,37.4,93,75,23.02
9,Souillac,MU,2021-04-03 19:13:19,-20.5167,57.5167,80.6,89,40,4.61
10,Dunmore Town,BS,2021-04-03 19:11:14,25.5,-76.65,68.67,59,84,26.82
11,Diffa,NE,2021-04-03 19:13:19,13.3154,12.6113,82.22,9,1,6.82
12,Antofagasta,CL,2021-04-03 19:11:32,-23.65,-70.4,68.0,64,40,11.5
13,Hermanus,ZA,2021-04-03 19:09:07,-34.4187,19.2345,59.0,86,0,2.06
14,Ilulissat,GL,2021-04-03 19:13:19,69.2167,-51.1,8.6,56,40,3.44
15,Kapaa,US,2021-04-03 19:13:20,22.0752,-159.319,75.2,69,40,17.27
16,Mataura,NZ,2021-04-03 19:13:20,-46.1927,168.8643,63.0,56,6,15.01
17,Bluff,NZ,2021-04-03 19:13:20,-46.6,168.3333,63.0,56,82,15.01
18,Mujiayingzi,CN,2021-04-03 19:13:21,42.1167,118.7833,36.41,30,6,5.66
19,Puerto Ayora,EC,2021-04-03 19:13:07,-0.7393,-90.3518,82.4,74,20,8.05
20,Cam Ranh,VN,2021-04-03 19:13:21,11.9214,109.1591,78.8,83,20,4.61
21,Russkaya Polyana,UA,2021-04-03 19:13:21,49.417,31.9201,43.81,58,100,1.66
22,Riviere-Au-Renard,CA,2021-04-03 19:13:22,48.9957,-64.3971,28.4,86,90,4.61
23,Broome,US,2021-04-03 19:13:22,42.2506,-75.833,48.0,28,1,4.61
24,Inirida,CO,2021-04-03 19:13:22,3.8653,-67.9239,88.18,59,94,1.45
25,Lompoc,US,2021-04-03 19:11:13,34.6391,-120.4579,59.0,67,6,16.11
26,Upernavik,GL,2021-04-03 19:13:22,72.7868,-56.1549,-11.25,86,10,7.34
27,Kavieng,PG,2021-04-03 19:13:23,-2.5744,150.7967,81.72,75,38,3.89
28,Nanortalik,GL,2021-04-03 19:13:23,60.1432,-45.2371,36.23,99,100,1.36
29,Tuatapere,NZ,2021-04-03 19:13:23,-46.1333,167.6833,63.0,56,48,15.01
30,Faanui,PF,2021-04-03 19:13:24,-16.4833,-151.75,81.77,71,22,6.13
31,Busselton,AU,2021-04-03 19:13:24,-33.65,115.3333,61.0,92,100,3.0
32,Bagdarin,RU,2021-04-03 19:13:24,54.4333,113.6,20.05,83,98,3.4
33,Gilgit,PK,2021-04-03 19:13:24,35.9221,74.3087,43.48,43,100,3.22
34,Acari,PE,2021-04-03 19:13:25,-15.4311,-74.6158,83.52,53,98,10.0
35,Hilo,US,2021-04-03 19:12:40,19.7297,-155.09,73.4,73,90,4.61
36,Neiafu,TO,2021-04-03 19:13:25,-18.65,-173.9833,75.2,83,40,4.92
37,Esperance,AU,2021-04-03 19:13:25,-33.8667,121.9,62.6,77,90,11.5
38,Hobart,AU,2021-04-03 19:08:26,-42.8794,147.3294,57.2,58,2,6.91
39,Albany,US,2021-04-03 19:13:16,42.6001,-73.9662,51.01,13,9,8.16
40,Narsaq,GL,2021-04-03 19:13:26,60.9167,-46.05,42.8,75,75,4.61
41,Bac Lieu,VN,2021-04-03 19:13:26,9.285,105.7244,81.45,78,38,11.43
42,Saint-Pierre,RE,2021-04-03 19:11:45,-21.3393,55.4781,77.0,78,0,2.3
43,Dikson,RU,2021-04-03 19:13:26,73.5069,80.5464,-19.12,83,36,5.21
44,Apac,UG,2021-04-03 19:13:27,1.9756,32.5386,66.65,94,92,3.89
45,Clyde River,CA,2021-04-03 19:09:55,70.4692,-68.5914,-9.4,70,20,3.44
46,Erenhot,CN,2021-04-03 19:13:27,43.6475,111.9767,36.05,28,11,8.93
47,Bilma,NE,2021-04-03 19:13:27,18.6853,12.9164,78.8,10,0,7.0
48,Castro,BR,2021-04-03 19:13:27,-24.7911,-50.0119,72.03,60,21,7.0
49,Deputatskiy,RU,2021-04-03 19:13:28,69.3,139.9,-13.79,100,100,2.15
50,Lebu,CL,2021-04-03 19:09:19,-37.6167,-73.65,61.03,70,0,12.26
51,Saint George,US,2021-04-03 19:13:28,37.1041,-113.5841,81.0,20,1,0.94
52,Jining,CN,2021-04-03 19:13:28,35.405,116.5814,39.87,44,6,6.33
53,Fallon,US,2021-04-03 19:13:29,39.4735,-118.7774,71.6,12,20,4.61
54,Tasiilaq,GL,2021-04-03 19:13:29,65.6145,-37.6368,24.8,63,20,10.36
55,Paramaribo,SR,2021-04-03 19:13:29,5.8667,-55.1667,82.4,78,40,9.89
56,Srandakan,ID,2021-04-03 19:13:30,-7.9386,110.2506,77.11,89,100,3.09
57,Ugoofaaru,MV,2021-04-03 19:13:30,5.6667,73.0,82.83,73,2,9.44
58,Mahajanga,MG,2021-04-03 19:09:12,-15.7167,46.3167,80.6,83,20,3.44
59,Talara,PE,2021-04-03 19:13:11,-4.5772,-81.2719,82.4,65,0,10.36
60,Catamarca,AR,2021-04-03 19:10:35,-28.4696,-65.7852,81.0,62,100,8.01
61,Carnarvon,AU,2021-04-03 19:13:30,-24.8667,113.6333,78.8,78,0,16.11
62,Quba,AZ,2021-04-03 19:13:30,41.3626,48.5152,41.25,75,20,6.35
63,Norman Wells,CA,2021-04-03 19:13:31,65.282,-126.8329,1.4,71,75,4.61
64,East London,ZA,2021-04-03 19:13:31,-33.0153,27.9116,64.4,72,0,6.91
65,Katsuura,JP,2021-04-03 19:13:31,35.1333,140.3,62.01,83,73,3.0
66,Atuona,PF,2021-04-03 19:13:32,-9.8,-139.0333,81.12,73,100,15.14
67,Ponta Do Sol,PT,2021-04-03 19:13:32,32.6667,-17.1,61.0,64,78,3.0
68,Yar-Sale,RU,2021-04-03 19:13:32,66.8333,70.8333,16.86,100,89,7.47
69,Severo-Kurilsk,RU,2021-04-03 19:13:32,50.6789,156.125,33.58,94,100,21.9
70,Thompson,CA,2021-04-03 19:13:33,55.7435,-97.8558,39.2,45,75,10.36
71,Abalak,RU,2021-04-03 19:13:33,58.1286,68.5944,32.94,84,100,9.37
72,Praia,CV,2021-04-03 19:13:33,14.9215,-23.5087,82.4,26,0,13.8
73,Mapimi,MX,2021-04-03 19:13:34,25.8167,-103.85,82.4,28,40,7.25
74,Port Alfred,ZA,2021-04-03 19:13:34,-33.5906,26.891,64.94,74,100,16.08
75,Hasaki,JP,2021-04-03 19:13:34,35.7333,140.8333,57.99,88,0,4.61
76,Chokurdakh,RU,2021-04-03 19:13:34,70.6333,147.9167,-25.91,100,59,4.5
77,Tura,IN,2021-04-03 19:13:35,25.5198,90.2201,72.84,41,0,3.83
78,Geraldton,AU,2021-04-03 19:10:45,-28.7667,114.6,71.6,68,36,8.05
79,Bethel,US,2021-04-03 19:13:35,41.3712,-73.414,50.0,20,1,13.8
